,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
0,953002,亚洲,Asia,不丹,Kingdom of Bhutan,不丹,Kingdom of Bhutan,不丹,5,5,0,0,0,,,1586139686115
1,952004,亚洲,Asia,东帝汶,,东帝汶,,东帝汶,1,1,0,0,0,,,1586085510377
2,951001,亚洲,Asia,中国,China,中国,China,中国,2317,83005,0,77348,3340,,,1586139443109
3,983002,非洲,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,中非共和国,9,9,0,0,0,,,1586146615856
4,962001,欧洲,Europe,丹麦,Denmark,丹麦,Denmark,丹麦,3296,4369,0,894,179,,,1586146615856
5,964007,欧洲,Europe,乌克兰,Ukraine,乌克兰,Ukraine,乌克兰,1243,1308,0,28,37,,,1586146615856
6,954005,亚洲,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,270,298,0,25,3,,,1586146615856
7,985010,非洲,Africa,乌干达,Uganda,乌干达,Uganda,乌干达,52,52,0,0,0,,,1586146615856
8,973011,南美洲,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,乌拉圭,314,386,0,68,4,,,1586146615856
9,982003,非洲,Africa,乍得,Chad,乍得,Chad,乍得,7,7,0,0,0,,,1586085510377
10,955002,亚洲,Asia,亚美尼亚,Armenia,亚美尼亚,Armenia,亚美尼亚,758,822,0,57,7,,,1586146615856
11,955009,亚洲,Asia,以色列,Israel,以色列,Israel,以色列,7904,8430,0,477,49,,,1586146615856
12,955008,亚洲,Asia,伊拉克,Iraq,伊拉克,Iraq,伊拉克,621,961,0,279,61,,,1586146615856
13,955007,亚洲,Asia,伊朗,Iran,伊朗,Iran,伊朗,32612,58226,0,22011,3603,,,1586146615856
14,972001,北美洲,North America,伯利兹,Belize,伯利兹,Belize,伯利兹,4,4,0,0,0,,,1586146615856
15,982017,非洲,Africa,佛得角,,佛得角,,佛得角,5,7,0,1,1,,,1586146615856
16,964006,欧洲,Europe,俄罗斯,Russia,俄罗斯,Russia,俄罗斯,4989,5389,0,355,45,,,1586146615856
17,965004,欧洲,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,保加利亚,508,531,0,3,20,,,1586146615856
18,965005,欧洲,Europe,克罗地亚,Croatia,克罗地亚,Croatia,克罗地亚,1048,1182,0,119,15,,,1586146615856
19,0,大洋洲,Oceania,关岛,Guam,关岛,Guam,关岛,89,93,0,0,4,,,1586146615856
20,982005,非洲,Africa,冈比亚,Gambia,冈比亚,Gambia,冈比亚,3,4,0,0,1,,,1586085510377
21,962003,欧洲,Europe,冰岛,Iceland,冰岛,Iceland,冰岛,1054,1486,0,428,4,,,1586146615856
22,0,非洲,Africa,几内亚,Guinea,几内亚,Guinea,几内亚,116,121,0,5,0,,,1586146615856
